iter	Passed	Remaining
0	2	2612
1	2	1474
2	3	1074
3	3	875
4	3	756
5	4	677
6	4	639
7	4	604
8	5	577
9	5	556
10	5	537
11	6	522
12	6	512
13	7	499
14	7	491
15	7	482
16	8	470
17	8	459
18	8	447
19	8	438
20	9	430
21	9	421
22	9	414
23	10	408
24	10	402
25	10	395
26	10	388
27	11	383
28	11	378
29	11	374
30	11	369
31	12	365
32	12	360
33	12	357
34	12	353
35	13	350
36	13	346
37	13	344
38	13	341
39	14	338
40	14	335
41	14	335
42	15	337
43	15	337
44	15	335
45	16	337
46	16	337
47	17	338
48	17	338
49	17	339
50	18	337
51	18	334
52	18	332
53	18	330
54	19	328
55	19	326
56	19	327
57	20	325
58	20	323
59	20	322
60	20	321
61	21	319
62	21	317
63	21	316
64	21	315
65	22	316
66	22	316
67	22	314
68	23	313
69	23	311
70	23	309
71	23	308
72	24	307
73	24	306
74	24	305
75	25	305
76	25	304
77	25	302
78	25	301
79	26	300
80	26	299
81	26	297
82	26	294
83	26	293
84	27	292
85	27	291
86	27	290
87	27	289
88	28	288
89	28	288
90	28	288
91	29	287
92	29	286
93	29	286
94	30	287
95	30	287
96	31	290
97	31	290
98	31	290
99	32	290
100	32	289
101	32	288
102	32	287
103	33	286
104	33	285
105	33	284
106	33	283
107	34	282
108	34	281
109	34	280
110	34	278
111	35	278
112	35	277
113	35	276
114	35	275
115	36	275
116	36	273
117	36	273
118	36	272
119	37	271
120	37	270
121	37	269
122	37	269
123	38	269
124	38	269
125	38	269
126	39	269
127	39	269
128	39	268
129	39	267
130	40	266
131	40	265
132	40	265
133	40	264
134	41	263
135	41	263
136	41	262
137	41	262
138	42	261
139	42	260
140	42	260
141	42	258
142	43	258
143	43	257
144	43	257
145	43	256
146	44	255
147	44	255
148	44	255
149	45	255
150	45	254
151	45	254
152	45	253
153	46	254
154	46	254
155	47	255
156	47	255
157	47	255
158	48	255
159	48	255
160	48	254
161	49	254
162	49	254
163	49	254
164	50	254
165	50	254
166	50	253
